real_name,yelp_name
AVALON,Avalon,
ASPINWALL,Aspinwall
GREEN TREE,Greentree
WEST VIEW,West View
DORMONT,Dormont
ETNA,Etna
HOMESTEAD,Homestead
SEWICKLEY,Sewickley
SHARPSBURG,Sharpsburg
BEN AVON,Ben Avon
EMSWORTH,Emsworth
MILLVALE,Millvale
CARNEGIE,Carnegie
